name,sweet,acidity,body,tannin,price,abv,type,nation,year
"Muller Catoir, Riesling Qualitatswein Trocken",SWEET2,ACIDITY5,BODY2,TANNIN1,76000,12,White,Germany,2007
"Romano Dal Forno, Vigna Sere",SWEET5,ACIDITY2,BODY5,TANNIN4,650000,14,Red,Italy,2004
"Dal Forno Romano, Amarone della Valpolicella",SWEET2,ACIDITY3,BODY5,TANNIN5,1360000,17,Red,Italy,2011
"Dal Forno Romano, Valpolicella Superiore",SWEET2,ACIDITY2,BODY5,TANNIN4,520000,15~16,Red,Italy,2011
"Bodegas Castano, Dulce Tinto",SWEET4,ACIDITY2,BODY3,TANNIN2,75000,16,Red,Spain,2016
Luxia Red Sweet,SWEET5,ACIDITY1,BODY3,TANNIN3,19000,8,Red,Germany,2014
"Kenneth Kim, Muscat Red",SWEET4,ACIDITY3,BODY4,TANNIN3,30000,12~13,Red,Korea,0
"Kenneth Kim, Muscat Sherry",SWEET4,ACIDITY3,BODY5,TANNIN1,40000,15.1,Fortified,Korea,0
"Trivento, Birds & Bees Sweet Red",SWEET5,ACIDITY1,BODY2,TANNIN2,23000,10,Red,Argentina,0
"Distell, Table Mountain Natural Sweet Red",SWEET4,ACIDITY3,BODY2,TANNIN3,15000,7.5,Red,the Republic of South Africa,0
"Distell, Table Mountain Natural Sweet White",SWEET4,ACIDITY3,BODY2,TANNIN1,15000,7.5,White,the Republic of South Africa,0
"Cantina Colli Euganei, Marzemino Frizzante",SWEET3,ACIDITY3,BODY2,TANNIN2,50000,8~9,Red,Italy,0
"Toso, Marsala",SWEET4,ACIDITY2,BODY5,TANNIN1,36000,17~18,Red,Italy,0
Angel Reef Dornfelder Merlot,SWEET2,ACIDITY4,BODY3,TANNIN4,13900,9.5,Red,Germany,2012
"Zind Humbrecht, Gewurztraminer Wintzenheim",SWEET3,ACIDITY2,BODY4,TANNIN1,87000,16,White,France,2008
"L'accorde, Grand Reserve",SWEET4,ACIDITY2,BODY2,TANNIN3,18000,12~13,Red,USA,0
Bernini Classic,SWEET4,ACIDITY2,BODY1,TANNIN1,4400,4~5,Sparkling,the Republic of South Africa,0
Sorella,SWEET2,ACIDITY4,BODY5,TANNIN4,240000,14.3,Red,USA,2012
Spanish Gate Red,SWEET3,ACIDITY2,BODY3,TANNIN3,20000,11,Red,Spain,0
La Rotonda Red Sweet Wine,SWEET5,ACIDITY1,BODY3,TANNIN2,20000,12,Red,Spain,0
Cape Mountain Natural Sweet Red,SWEET4,ACIDITY3,BODY3,TANNIN4,25000,8,Red,the Republic of South Africa,0
"Redwood, Pinot Noir",SWEET2,ACIDITY5,BODY3,TANNIN2,36000,12.5,Red,USA,2009
Ropiteau Freres Brouilly,SWEET2,ACIDITY4,BODY2,TANNIN2,65000,12.5,Red,France,2006
Yering Station Little Yering Pinot Noir,SWEET2,ACIDITY4,BODY3,TANNIN2,45000,13,Red,Australia,2011
Millstream Natural Sweet Red,SWEET5,ACIDITY2,BODY2,TANNIN4,20000,8~9,Red,the Republic of South Africa,0
"Esterhazy, Chardonnay Eiswein",SWEET5,ACIDITY4,BODY3,TANNIN1,110000,11,White,Austria,2006
Cocchi Chardonnay Brut,SWEET2,ACIDITY4,BODY4,TANNIN1,60000,12.5,Sparkling,Italy,0
Pink Elephant Rose,SWEET2,ACIDITY2,BODY1,TANNIN1,28000,12,Rose,Portugal,2010
Dogma Prime Cabernet Sauvignon,SWEET2,ACIDITY4,BODY4,TANNIN2,90000,13.5,Red,Chile,2016
"Braida, Grappa",SWEET2,ACIDITY1,BODY4,TANNIN1,300000,44,Hard,Italy,2014
"Rivani, Moscato Rose",SWEET4,ACIDITY1,BODY1,TANNIN1,27000,9.5,Rose,Italy,0
Simply Zinfandel,SWEET3,ACIDITY4,BODY2,TANNIN4,9900,13,Red,USA,0
Finest Central Otago Pinot Noir,SWEET1,ACIDITY5,BODY2,TANNIN3,49000,13.5,Red,New Zealand,2011
"Cevico, Romance",SWEET4,ACIDITY3,BODY2,TANNIN2,19800,14~15,Red,Italy,0
"Cevico, Volli Spumante Extra Dry",SWEET1,ACIDITY2,BODY4,TANNIN1,37000,10~11,Sparkling,Italy,0
Haha Marlborough Pinot Noir,SWEET2,ACIDITY5,BODY3,TANNIN3,65000,13~14,Red,New Zealand,2014
"I Balzini, Brown Label",SWEET1,ACIDITY1,BODY4,TANNIN1,147000,43,Hard,Italy,2006
Millstream Pinotage,SWEET2,ACIDITY4,BODY2,TANNIN3,20000,13.5,Red,the Republic of South Africa,2011
"Sartori, Amarone Corte Bra",SWEET2,ACIDITY2,BODY4,TANNIN4,170000,15,Red,Italy,2004
"Mastroberardino, Radici Taurasi Reserva",SWEET1,ACIDITY2,BODY4,TANNIN5,220000,13~14,Red,Italy,2014
"Medici Ermete, Concerto ",SWEET1,ACIDITY2,BODY4,TANNIN2,70000,11~12,Sparkling,Italy,2017
"Napa Cellars, Chardonnay",SWEET2,ACIDITY5,BODY4,TANNIN1,100000,13~14,White,USA,2016
Dorado Red,SWEET4,ACIDITY1,BODY2,TANNIN2,12000,11,Red,Spain,0
Finest Fino Sherry,SWEET2,ACIDITY3,BODY4,TANNIN2,23000,15,Fortified,Spain,0
Finest Steillage Mosel Riesling,SWEET3,ACIDITY5,BODY1,TANNIN1,29000,11,White,Germany,2011
Finest Alsace Gewurztraminer,SWEET2,ACIDITY3,BODY1,TANNIN1,32000,13,White,France,2012
